,recovery,temperature,code1,code2,share1,share2
1,10,64.40846084905857,AHS,AWB,0.39,0.61
2,20,178.7670005361416,AHS,AWB,0.39,0.61
3,30,330.427148049907,AHS,AWB,0.39,0.61
4,40,413.79139688812717,AHS,AWB,0.39,0.61
5,50,478.6027064899071,AHS,AWB,0.39,0.61
6,60,539.6926870515093,AHS,AWB,0.39,0.61
7,70,606.3200719631575,AHS,AWB,0.39,0.61
8,80,,AHS,AWB,0.39,0.61
9,90,,AHS,AWB,0.39,0.61
10,95,,AHS,AWB,0.39,0.61
11,99,,AHS,AWB,0.39,0.61
0,5,39.22839722412487,AHS,AWB,0.4,0.6
1,10,64.6598842635853,AHS,AWB,0.4,0.6
2,20,178.7868316532971,AHS,AWB,0.4,0.6
3,30,330.8210395989479,AHS,AWB,0.4,0.6
4,40,414.2886037590594,AHS,AWB,0.4,0.6
5,50,478.92926682308234,AHS,AWB,0.4,0.6
6,60,539.6636375792301,AHS,AWB,0.4,0.6
7,70,605.8539919150317,AHS,AWB,0.4,0.6
8,80,,AHS,AWB,0.4,0.6
9,90,,AHS,AWB,0.4,0.6
10,95,,AHS,AWB,0.4,0.6
11,99,,AHS,AWB,0.4,0.6
0,5,39.28589152678156,AHS,AWB,0.41,0.59
1,10,64.91386917677956,AHS,AWB,0.41,0.59
2,20,178.806674330498,AHS,AWB,0.41,0.59
3,30,331.21803484821595,AHS,AWB,0.41,0.59
4,40,414.78573373655314,AHS,AWB,0.41,0.59
5,50,479.2526520611973,AHS,AWB,0.41,0.59
6,60,539.6349456746844,AHS,AWB,0.41,0.59
7,70,605.3937192023297,AHS,AWB,0.41,0.59
8,80,,AHS,AWB,0.41,0.59
9,90,,AHS,AWB,0.41,0.59
10,95,,AHS,AWB,0.41,0.59
11,99,,AHS,AWB,0.41,0.59
0,5,39.34332994458213,AHS,AWB,0.42,0.58
1,10,65.17045605936524,AHS,AWB,0.42,0.58
2,20,178.82652873877157,AHS,AWB,0.42,0.58
3,30,331.61817513510755,AHS,AWB,0.42,0.58
4,40,415.2827941171653,AHS,AWB,0.42,0.58
5,50,479.5728904807152,AHS,AWB,0.42,0.58
6,60,539.6066047396902,AHS,AWB,0.42,0.58
7,70,604.939140274885,AHS,AWB,0.42,0.58
8,80,,AHS,AWB,0.42,0.58
9,90,,AHS,AWB,0.42,0.58
10,95,,AHS,AWB,0.42,0.58
11,99,,AHS,AWB,0.42,0.58
0,5,39.40072443951415,AHS,AWB,0.43,0.57
1,10,65.4297760494404,AHS,AWB,0.43,0.57
2,20,178.84639504205046,AHS,AWB,0.43,0.57
3,30,332.02153930737757,AHS,AWB,0.43,0.57
4,40,415.77975922563695,AHS,AWB,0.43,0.57
5,50,479.8900334607036,AHS,AWB,0.43,0.57
6,60,539.578608339344,AHS,AWB,0.43,0.57
7,70,604.4901547695832,AHS,AWB,0.43,0.57
8,80,,AHS,AWB,0.43,0.57
9,90,,AHS,AWB,0.43,0.57
10,95,,AHS,AWB,0.43,0.57
11,99,,AHS,AWB,0.43,0.57
0,5,39.45808754689133,AHS,AWB,0.44,0.56
1,10,65.69183450179098,AHS,AWB,0.44,0.56
2,20,178.86627339715847,AHS,AWB,0.44,0.56
3,30,332.4281824291133,AHS,AWB,0.44,0.56
4,40,416.27663545994125,AHS,AWB,0.44,0.56
5,50,480.2041255899529,AHS,AWB,0.44,0.56
6,60,539.5509501969148,AHS,AWB,0.44,0.56
7,70,604.0466578210794,AHS,AWB,0.44,0.56
8,80,,AHS,AWB,0.44,0.56
9,90,,AHS,AWB,0.44,0.56
10,95,,AHS,AWB,0.44,0.56
11,99,,AHS,AWB,0.44,0.56
0,5,39.51543232734445,AHS,AWB,0.45,0.55
1,10,65.95661832284367,AHS,AWB,0.45,0.55
2,20,178.88616395379665,AHS,AWB,0.45,0.55
3,30,332.8381655442654,AHS,AWB,0.45,0.55
4,40,416.77339658120286,AHS,AWB,0.45,0.55
5,50,480.51519231053135,AHS,AWB,0.45,0.55
6,60,539.5236241889289,AHS,AWB,0.45,0.55
7,70,603.6085473056445,AHS,AWB,0.45,0.55
8,80,,AHS,AWB,0.45,0.55
9,90,,AHS,AWB,0.45,0.55
10,95,,AHS,AWB,0.45,0.55
11,99,,AHS,AWB,0.45,0.55
0,5,39.572772321187706,AHS,AWB,0.46,0.54
